league,number,sport,championship,month,year,date,t1,t1loc
NCAA D1 - Men,511,american_football-men,FCS,January,1979,1/1/1979,Florida A&M,"Tallahassee, Florida"
NCAA D1 - Men,512,american_football-men,FBS,January,1979,1/1/1979,University of Southern California,"Los Angeles, California"
NFL,513,american_football,Superbowl,January,1979,1/1/1979,Pittsburgh Steelers,"Pittsburgh, Pennsylvania"
NCAA D1 - Men,514,basketball-men,NCAA Division I Men's Basketball Tournament,March,1979,3/1/1979,Michigan State University,"East Lansing, Michigan"
NBA,515,basketball,NBA Championship,April,1979,4/1/1979,Seattle SuperSonics,"Seattle, Washington"
NHL,516,ice_hockey,Stanley Cup,May,1979,5/1/1979,Montreal Canadiens,"Montreal, Quebec"
NCAA D1 - Men,517,baseball-men,College World Series,June,1979,6/1/1979,"California State University, Fullerton","Fullerton, California"
MLB,518,baseball,world series,October,1979,10/1/1979,Pittsburgh Pirates,"Pittsburgh, Pennsylvania"
CFL,519,canadian_football,Grey Cup,November,1979,11/1/1979,Edmonton Eskimos,"Edmonton, Alberta"
NCAA D1 - Men,520,american_football-men,FBS,January,1980,1/1/1980,University of Alabama,"Tuscaloosa, Alabama"
NCAA D1 - Men,521,american_football-men,FCS,January,1980,1/1/1980,Eastern Kentucky University,"Richmond, Kentucky"
NFL,522,american_football,Superbowl,January,1980,1/1/1980,Pittsburgh Steelers,"Pittsburgh, Pennsylvania"
NCAA D1 - Men,523,basketball-men,NCAA Division I Men's Basketball Tournament,March,1980,3/1/1980,University of Louisville,"Louisville, Kentucky"
NBA,524,basketball,NBA Championship,April,1980,4/1/1980,Los Angeles Lakers,"Los Angeles, California"
NHL,525,ice_hockey,Stanley Cup,May,1980,5/1/1980,New York Islanders,"New York, New York"
NCAA D1 - Men,526,baseball-men,College World Series,June,1980,6/1/1980,University of Arizona,"Tucson, Arizona"
MLB,527,baseball,world series,October,1980,10/1/1980,Philadelphia Phillies,"Philadelphia, Pennsylvania"
CFL,528,canadian_football,Grey Cup,November,1980,11/1/1980,Edmonton Eskimos,"Edmonton, Alberta"
NCAA D1 - Men,529,american_football-men,FBS,January,1981,1/1/1981,University of Georgia,"Athens, Georgia"
NCAA D1 - Men,530,american_football-men,FCS,January,1981,1/1/1981,Boise State University,"Boise, Idaho"
NFL,531,american_football,Superbowl,January,1981,1/1/1981,Oakland Raiders,"Oakland, California"
NCAA D1 - Men,532,basketball-men,NCAA Division I Men's Basketball Tournament,March,1981,3/1/1981,University of Indiana,"Bloomington, Indiana"
NBA,533,basketball,NBA Championship,April,1981,4/1/1981,Boston Celtics,"Boston, Massachusetts"
NHL,534,ice_hockey,Stanley Cup,May,1981,5/1/1981,New York Islanders,"New York, New York"
NCAA D1 - Men,535,baseball-men,College World Series,June,1981,6/1/1981,Arizona State University,"Tempe, Arizona"
MLB,536,baseball,world series,October,1981,10/1/1981,Los Angeles Dodgers,"Los Angeles, California"
CFL,537,canadian_football,Grey Cup,November,1981,11/1/1981,Edmonton Eskimos,"Edmonton, Alberta"
NCAA D1 - Women,538,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1981,12/1/1981,University of South Carolina,"Columbia, South Carolina"
NCAA D1 - Men,539,american_football-men,FBS,January,1982,1/1/1982,Clemson University,"Clemson, South Carolina"
NCAA D1 - Men,540,american_football-men,FCS,January,1982,1/1/1982,Idaho State University,"Pocatello, Idaho"
NFL,541,american_football,Superbowl,January,1982,1/1/1982,San Francisco 49ers,"San Francisco, California"
NCAA D1 - Men,542,basketball-men,NCAA Division I Men's Basketball Tournament,March,1982,3/1/1982,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,543,basketball-women,NCAA Division I Women's Basketball Tournament,April,1982,4/1/1982,Louisiana Tech,"Rouston, Pennsylvania"
NBA,544,basketball,NBA Championship,April,1982,4/1/1982,Los Angeles Lakers,"Los Angeles, California"
NHL,545,ice_hockey,Stanley Cup,May,1982,5/1/1982,New York Islanders,"New York, New York"
NCAA D1 - Men,546,baseball-men,College World Series,June,1982,6/1/1982,University of Miami,"Miami, Florida"
MLB,547,baseball,world series,October,1982,10/1/1982,St Louis Cardinals,"St Louis, Missouri"
CFL,548,canadian_football,Grey Cup,November,1982,11/1/1982,Edmonton Eskimos,"Edmonton, Alberta"
NCAA D1 - Women,549,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1982,12/1/1982,University of Hawaii,"Honolulu, Hawaii"
NCAA D1 - Women,550,soccer-women,NCAA Division I Women's Soccer Championship,December,1982,12/1/1982,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Men,551,american_football-men,FCS,January,1983,1/1/1983,Eastern Kentucky University,"Richmond, Kentucky"
NCAA D1 - Men,552,american_football-men,FBS,January,1983,1/1/1983,Penn State University,"Centre Country, Pennsylvania"
NFL,553,american_football,Superbowl,January,1983,1/1/1983,Washington Redskins,"Washington, DC"
NCAA D1 - Men,554,basketball-men,NCAA Division I Men's Basketball Tournament,March,1983,3/1/1983,North Carolina State,"Raleigh, North Carolina"
NBA,555,basketball,NBA Championship,April,1983,4/1/1983,Philadelphia 76ers,"Philadelphia, Pennsylvania"
NCAA D1 - Women,556,basketball-women,NCAA Division I Women's Basketball Tournament,April,1983,4/1/1983,University of South Carolina,"Columbia, South Carolina"
NHL,557,ice_hockey,Stanley Cup,May,1983,5/1/1983,New York Islanders,"New York, New York"
NCAA D1 - Men,558,baseball-men,College World Series,June,1983,6/1/1983,University of Texas,"Austin, Texas"
MLB,559,baseball,world series,October,1983,10/1/1983,Baltimore Orioles,"Baltimore, Maryland"
CFL,560,canadian_football,Grey Cup,November,1983,11/1/1983,Toronto Argonauts,"Toronto, Ontario"
NCAA D1 - Women,561,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1983,12/1/1983,University of Hawaii,"Honolulu, Hawaii"
NCAA D1 - Women,562,soccer-women,NCAA Division I Women's Soccer Championship,December,1983,12/1/1983,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Men,563,american_football-men,FCS,January,1984,1/1/1984,University of Southern Illinois,"Carbondale, Illinois"
NCAA D1 - Men,564,american_football-men,FBS,January,1984,1/1/1984,University of Miami,"Miami, Florida"
NFL,565,american_football,Superbowl,January,1984,1/1/1984,Los Angeles Raiders,"Los Angeles, California"
NCAA D1 - Men,566,basketball-men,NCAA Division I Men's Basketball Tournament,March,1984,3/1/1984,Georgetown University,"Washington, DC"
NCAA D1 - Women,567,basketball-women,NCAA Division I Women's Basketball Tournament,April,1984,4/1/1984,University of South Carolina,"Columbia, South Carolina"
NBA,568,basketball,NBA Championship,April,1984,4/1/1984,Boston Celtics,"Boston, Massachusetts"
NHL,569,ice_hockey,Stanley Cup,May,1984,5/1/1984,Edmonton Oilers,"Edmonton, Alberta"
NCAA D1 - Men,570,baseball-men,College World Series,June,1984,6/1/1984,"California State University, Fullerton","Fullerton, California"
MLB,571,baseball,world series,October,1984,10/1/1984,Detroit Tigers,"Detroit, Michigan"
CFL,572,canadian_football,Grey Cup,November,1984,11/1/1984,Winnipeg Blue Bombers,"Winnipeg, Manitoba"
NCAA D1 - Women,573,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1984,12/1/1984,University of California-Los Angeles,"Los Angeles, California"
NCAA D1 - Women,574,soccer-women,NCAA Division I Women's Soccer Championship,December,1984,12/1/1984,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Men,575,american_football-men,FBS,January,1985,1/1/1985,Brigham Young University,"Provo, Utah"
NCAA D1 - Men,576,american_football-men,FCS,January,1985,1/1/1985,Montana State University,"Bozeman, Montana"
NFL,577,american_football,Superbowl,January,1985,1/1/1985,San Francisco 49ers,"San Francisco, California"
NCAA D1 - Men,578,basketball-men,NCAA Division I Men's Basketball Tournament,March,1985,3/1/1985,Villanova University,"Villanova, Pennsylvania"
NBA,579,basketball,NBA Championship,April,1985,4/1/1985,Los Angeles Lakers,"Los Angeles, California"
NCAA D1 - Women,580,basketball-women,NCAA Division I Women's Basketball Tournament,April,1985,4/1/1985,Old Dominion University,"Norfolk, Virginia"
NHL,581,ice_hockey,Stanley Cup,May,1985,5/1/1985,Edmonton Oilers,"Edmonton, Alberta"
NCAA D1 - Men,582,baseball-men,College World Series,June,1985,6/1/1985,University of Miami,"Miami, Florida"
MLB,583,baseball,world series,October,1985,10/1/1985,Kansas City Royals,"Kansas City, Missouri"
CFL,584,canadian_football,Grey Cup,November,1985,11/1/1985,BC Lions,"Vancouver, British Columbia"
NCAA D1 - Women,585,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1985,12/1/1985,University of the Pacific,"Stockton, California"
NCAA D1 - Women,586,soccer-women,NCAA Division I Women's Soccer Championship,December,1985,12/1/1985,George Mason University,"Fairfax, Virginia"
NCAA D1 - Men,587,american_football-men,FBS,January,1986,1/1/1986,University of Oklahama,"Norman, Oklahoma"
NCAA D1 - Men,588,american_football-men,FCS,January,1986,1/1/1986,Georgia Southern University,"Statesboro, Georgia"
NFL,589,american_football,Superbowl,January,1986,1/1/1986,Chicago Bears,"Chicago, Illinois"
NCAA D1 - Men,590,basketball-men,NCAA Division I Men's Basketball Tournament,March,1986,3/1/1986,University of Louisville,"Louisville, Kentucky"
NBA,591,basketball,NBA Championship,April,1986,4/1/1986,Boston Celtics,"Boston, Massachusetts"
NCAA D1 - Women,592,basketball-women,NCAA Division I Women's Basketball Tournament,April,1986,4/1/1986,University of Texas,"Austin, Texas"
NHL,593,ice_hockey,Stanley Cup,May,1986,5/1/1986,Montreal Canadiens,"Montreal, Quebec"
NCAA D1 - Men,594,baseball-men,College World Series,June,1986,6/1/1986,University of Arizona,"Tucson, Arizona"
MLB,595,baseball,world series,October,1986,10/1/1986,New York Mets,"New York, New York"
CFL,596,canadian_football,Grey Cup,November,1986,11/1/1986,Hamilton Tiger-Cats,"Hamilton, Ontario"
NCAA D1 - Women,597,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1986,12/1/1986,University of the Pacific,"Stockton, California"
NCAA D1 - Women,598,soccer-women,NCAA Division I Women's Soccer Championship,December,1986,12/1/1986,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Men,599,american_football-men,FCS,January,1987,1/1/1987,Georgia Southern University,"Statesboro, Georgia"
NCAA D1 - Men,600,american_football-men,FBS,January,1987,1/1/1987,Penn State University,"Centre Country, Pennsylvania"
NFL,601,american_football,Superbowl,January,1987,1/1/1987,New York Giants,"New York, New York"
NCAA D1 - Men,602,basketball-men,NCAA Division I Men's Basketball Tournament,March,1987,3/1/1987,University of Indiana,"Bloomington, Indiana"
NCAA D1 - Women,603,basketball-women,NCAA Division I Women's Basketball Tournament,April,1987,4/1/1987,University of Tennessee,"Knoxville, Tennessee"
NBA,604,basketball,NBA Championship,April,1987,4/1/1987,Los Angeles Lakers,"Los Angeles, California"
NHL,605,ice_hockey,Stanley Cup,May,1987,5/1/1987,Edmonton Oilers,"Edmonton, Alberta"
NCAA D1 - Men,606,baseball-men,College World Series,June,1987,6/1/1987,Stanford University,"Stanford, California"
MLB,607,baseball,world series,October,1987,10/1/1987,Minnesota Twins,"Minneapolis, Minnesota"
CFL,608,canadian_football,Grey Cup,November,1987,11/1/1987,Edmonton Eskimos,"Edmonton, Alberta"
NCAA D1 - Women,609,soccer-women,NCAA Division I Women's Soccer Championship,December,1987,12/1/1987,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,610,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1987,12/1/1987,University of Hawaii,"Honolulu, Hawaii"
NCAA D1 - Men,611,american_football-men,FCS,January,1988,1/1/1988,University of Louisiana-Monroe,"Monroe, Louisiana"
NCAA D1 - Men,612,american_football-men,FBS,January,1988,1/1/1988,University of Miami,"Miami, Florida"
NFL,613,american_football,Superbowl,January,1988,1/1/1988,Washington Redskins,"Washington, DC"
NCAA D1 - Men,614,basketball-men,NCAA Division I Men's Basketball Tournament,March,1988,3/1/1988,University of Kansas,"Lawrence, Kansas"
NCAA D1 - Women,615,basketball-women,NCAA Division I Women's Basketball Tournament,April,1988,4/1/1988,Louisiana Tech,"Rouston, Pennsylvania"
NBA,616,basketball,NBA Championship,April,1988,4/1/1988,Los Angeles Lakers,"Los Angeles, California"
NHL,617,ice_hockey,Stanley Cup,May,1988,5/1/1988,Edmonton Oilers,"Edmonton, Alberta"
NCAA D1 - Men,618,baseball-men,College World Series,June,1988,6/1/1988,Stanford University,"Stanford, California"
MLB,619,baseball,world series,October,1988,10/1/1988,Los Angeles Dodgers,"Los Angeles, California"
CFL,620,canadian_football,Grey Cup,November,1988,11/1/1988,Winnipeg Blue Bombers,"Winnipeg, Manitoba"
NCAA D1 - Women,621,soccer-women,NCAA Division I Women's Soccer Championship,December,1988,12/1/1988,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,622,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1988,12/1/1988,University of Texas,"Austin, Texas"
NCAA D1 - Men,623,american_football-men,FBS,January,1989,1/1/1989,University of Notre Dame,"Notre Dame, Indiana"
NCAA D1 - Men,624,american_football-men,FCS,January,1989,1/1/1989,Furman University,"Greenville, South Carolina"
NFL,625,american_football,Superbowl,January,1989,1/1/1989,San Francisco 49ers,"San Francisco, California"
NCAA D1 - Men,626,basketball-men,NCAA Division I Men's Basketball Tournament,March,1989,3/1/1989,University of Michigan,"Ann Arbor, Michigan"
NCAA D1 - Women,627,basketball-women,NCAA Division I Women's Basketball Tournament,April,1989,4/1/1989,University of Tennessee,"Knoxville, Tennessee"
NBA,628,basketball,NBA Championship,April,1989,4/1/1989,Detroit Pistons,"Detroit, Michigan"
NHL,629,ice_hockey,Stanley Cup,May,1989,5/1/1989,Calgary Flames,"Calgary, Alberta"
NCAA D1 - Men,630,baseball-men,College World Series,June,1989,6/1/1989,Wichita State University,"Wichita, Kansas"
MLB,631,baseball,world series,October,1989,10/1/1989,Oakland Athletics,"Oakland, California"
CFL,632,canadian_football,Grey Cup,November,1989,11/1/1989,Saskatchewan Roughriders,"Regina, Saskatchewan"
NCAA D1 - Women,633,soccer-women,NCAA Division I Women's Soccer Championship,December,1989,12/1/1989,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,634,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1989,12/1/1989,Long Beach State,"Long Beach, California"
NCAA D1 - Men,635,american_football-men,FCS,January,1990,1/1/1990,Georgia Southern University,"Statesboro, Georgia"
NCAA D1 - Men,636,american_football-men,FBS,January,1990,1/1/1990,University of Miami,"Miami, Florida"
NFL,637,american_football,Superbowl,January,1990,1/1/1990,San Francisco 49ers,"San Francisco, California"
NCAA D1 - Men,638,basketball-men,NCAA Division I Men's Basketball Tournament,March,1990,3/1/1990,University of Nevada-Las Vegas,"Las Vegas, Nevada"
NCAA D1 - Women,639,basketball-women,NCAA Division I Women's Basketball Tournament,April,1990,4/1/1990,Stanford University,"Stanford, California"
NBA,640,basketball,NBA Championship,April,1990,4/1/1990,Detroit Pistons,"Detroit, Michigan"
NHL,641,ice_hockey,Stanley Cup,May,1990,5/1/1990,Edmonton Oilers,"Edmonton, Alberta"
NCAA D1 - Men,642,baseball-men,College World Series,June,1990,6/1/1990,University of Georgia,"Athens, Georgia"
MLB,643,baseball,world series,October,1990,10/1/1990,Cincinnati Reds,"Cincinnati, Ohio"
CFL,644,canadian_football,Grey Cup,November,1990,11/1/1990,Winnipeg Blue Bombers,"Winnipeg, Manitoba"
NCAA D1 - Women,645,soccer-women,NCAA Division I Women's Soccer Championship,December,1990,12/1/1990,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,646,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1990,12/1/1990,University of California-Los Angeles,"Los Angeles, California"
NCAA D1 - Men,647,american_football-men,FBS,January,1991,1/1/1991,Georgia Tech,"Atlanta, Georgia"
NCAA D1 - Men,648,american_football-men,FCS,January,1991,1/1/1991,Georgia Southern University,"Statesboro, Georgia"
NCAA D1 - Men,649,american_football-men,FBS,January,1991,1/1/1991,University of Colorado,"Denver, Colorado"
NFL,650,american_football,Superbowl,January,1991,1/1/1991,New York Giants,"New York, New York"
NCAA D1 - Men,651,basketball-men,NCAA Division I Men's Basketball Tournament,March,1991,3/1/1991,Duke University,"Durham, North Carolina"
NCAA D1 - Women,652,basketball-women,NCAA Division I Women's Basketball Tournament,April,1991,4/1/1991,University of Tennessee,"Knoxville, Tennessee"
NBA,653,basketball,NBA Championship,April,1991,4/1/1991,Chicago Bulls,"Chicago, Illinois"
NHL,654,ice_hockey,Stanley Cup,May,1991,5/1/1991,Pittsburgh Penguins,"Pittsburgh, Pennsylvania"
NCAA D1 - Men,655,baseball-men,College World Series,June,1991,6/1/1991,Louisiana State University,"Baton Rouge, Louisiana"
MLB,656,baseball,world series,October,1991,10/1/1991,Minnesota Twins,"Minneapolis, Minnesota"
CFL,657,canadian_football,Grey Cup,November,1991,11/1/1991,Toronto Argonauts,"Toronto, Ontario"
NCAA D1 - Women,658,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1991,12/1/1991,University of California-Los Angeles,"Los Angeles, California"
NCAA D1 - Women,659,soccer-women,NCAA Division I Women's Soccer Championship,December,1991,12/1/1991,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Men,660,american_football-men,FCS,January,1992,1/1/1992,Youngstown State University,"Youngstown, Ohio"
NCAA D1 - Men,661,american_football-men,FBS,January,1992,1/1/1992,University of Miami,"Miami, Florida"
NCAA D1 - Men,662,american_football-men,FBS,January,1992,1/1/1992,University of Washington,"Seattle, Washington"
NFL,663,american_football,Superbowl,January,1992,1/1/1992,Washington Redskins,"Washington, DC"
NCAA D1 - Men,664,basketball-men,NCAA Division I Men's Basketball Tournament,March,1992,3/1/1992,Duke University,"Durham, North Carolina"
NBA,665,basketball,NBA Championship,April,1992,4/1/1992,Chicago Bulls,"Chicago, Illinois"
NCAA D1 - Women,666,basketball-women,NCAA Division I Women's Basketball Tournament,April,1992,4/1/1992,Stanford University,"Stanford, California"
NHL,667,ice_hockey,Stanley Cup,May,1992,5/1/1992,Pittsburgh Penguins,"Pittsburgh, Pennsylvania"
NCAA D1 - Men,668,baseball-men,College World Series,June,1992,6/1/1992,Pepperdine University,"Malibu, California"
MLB,669,baseball,world series,October,1992,10/1/1992,Toronto Blue Jays,"Toronto, Ontario"
CFL,670,canadian_football,Grey Cup,November,1992,11/1/1992,Calgary Stampeders,"Calgary, Alberta"
NCAA D1 - Women,671,soccer-women,NCAA Division I Women's Soccer Championship,December,1992,12/1/1992,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,672,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1992,12/1/1992,Stanford University,"Stanford, California"
NCAA D1 - Men,673,american_football-men,FBS,January,1993,1/1/1993,University of Alabama,"Tuscaloosa, Alabama"
NCAA D1 - Men,674,american_football-men,FCS,January,1993,1/1/1993,Marshall University,"Huntington, West Virginia"
NFL,675,american_football,Superbowl,January,1993,1/1/1993,Dallas Cowboys,"Dallas, Texas"
NCAA D1 - Men,676,basketball-men,NCAA Division I Men's Basketball Tournament,March,1993,3/1/1993,University of North Carolina,"Chapel Hill, North Carolina"
NBA,677,basketball,NBA Championship,April,1993,4/1/1993,Chicago Bulls,"Chicago, Illinois"
NCAA D1 - Women,678,basketball-women,NCAA Division I Women's Basketball Tournament,April,1993,4/1/1993,Texas Tech,"Lubbock, Texas"
NCAA D1 - Men,679,baseball-men,College World Series,June,1993,6/1/1993,Louisiana State University,"Baton Rouge, Louisiana"
NHL,680,ice_hockey,Stanley Cup,June,1993,6/1/1993,Montreal Canadiens,"Montreal, Quebec"
MLB,681,baseball,world series,October,1993,10/1/1993,Toronto Blue Jays,"Toronto, Ontario"
CFL,682,canadian_football,Grey Cup,November,1993,11/1/1993,Edmonton Eskimos,"Edmonton, Alberta"
NCAA D1 - Women,683,soccer-women,NCAA Division I Women's Soccer Championship,December,1993,12/1/1993,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,684,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1993,12/1/1993,Long Beach State,"Long Beach, California"
NCAA D1 - Men,685,american_football-men,FBS,January,1994,1/1/1994,Florida State University,"Tallahassee, Florida"
NCAA D1 - Men,686,american_football-men,FCS,January,1994,1/1/1994,Youngstown State University,"Youngstown, Ohio"
NFL,687,american_football,Superbowl,January,1994,1/1/1994,Dallas Cowboys,"Dallas, Texas"
NCAA D1 - Men,688,basketball-men,NCAA Division I Men's Basketball Tournament,March,1994,3/1/1994,University of Arkansas,"Fayetteville, Arkansas"
NCAA D1 - Women,689,basketball-women,NCAA Division I Women's Basketball Tournament,April,1994,4/1/1994,University of North Carolina,"Chapel Hill, North Carolina"
NBA,690,basketball,NBA Championship,April,1994,4/1/1994,Houston Rockets,"Houston, Texas"
NCAA D1 - Men,691,baseball-men,College World Series,June,1994,6/1/1994,University of Oklahama,"Norman, Oklahoma"
NHL,692,ice_hockey,Stanley Cup,June,1994,6/1/1994,New York Rangers,"New York, New York"
MLB,693,baseball,world series,October,1994,10/1/1994,,
CFL,694,canadian_football,Grey Cup,November,1994,11/1/1994,BC Lions,"Vancouver, British Columbia"
NCAA D1 - Women,695,soccer-women,NCAA Division I Women's Soccer Championship,December,1994,12/1/1994,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,696,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1994,12/1/1994,Stanford University,"Stanford, California"
NCAA D1 - Men,697,american_football-men,FBS,January,1995,1/1/1995,University of Nebraska,"Lincoln, Nebraska"
NCAA D1 - Men,698,american_football-men,FCS,January,1995,1/1/1995,Youngstown State University,"Youngstown, Ohio"
NFL,699,american_football,Superbowl,January,1995,1/1/1995,San Francisco 49ers,"San Francisco, California"
NCAA D1 - Men,700,basketball-men,NCAA Division I Men's Basketball Tournament,March,1995,3/1/1995,University of California-Los Angeles,"Los Angeles, California"
NBA,701,basketball,NBA Championship,April,1995,4/1/1995,Houston Rockets,"Houston, Texas"
NCAA D1 - Women,702,basketball-women,NCAA Division I Women's Basketball Tournament,April,1995,4/1/1995,University of Connecticut,"Mansfield, Connecticut"
NHL,703,ice_hockey,Stanley Cup,June,1995,6/1/1995,New Jersey Devils,"Newark, New jersey"
NCAA D1 - Men,704,baseball-men,College World Series,June,1995,6/1/1995,"California State University, Fullerton","Fullerton, California"
MLB,705,baseball,world series,October,1995,10/1/1995,Atlanta Braves,"Atlanta, Georgia"
CFL,706,canadian_football,Grey Cup,November,1995,11/1/1995,Baltimore Stallions,"Baltimore, Maryland"
NCAA D1 - Women,707,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1995,12/1/1995,University of Nebraska,"Lincoln, Nebraska"
NCAA D1 - Women,708,soccer-women,NCAA Division I Women's Soccer Championship,December,1995,12/1/1995,University of Notre Dame,"Notre Dame, Indiana"
NCAA D1 - Men,709,american_football-men,FBS,January,1996,1/1/1996,University of Nebraska,"Lincoln, Nebraska"
NCAA D1 - Men,710,american_football-men,FCS,January,1996,1/1/1996,University of Montana,"Dillon, Montana"
NFL,711,american_football,Superbowl,January,1996,1/1/1996,Dallas Cowboys,"Dallas, Texas"
NCAA D1 - Men,712,basketball-men,NCAA Division I Men's Basketball Tournament,March,1996,3/1/1996,University of Kentucky,"Lexington, Kentucky"
NCAA D1 - Women,713,basketball-women,NCAA Division I Women's Basketball Tournament,April,1996,4/1/1996,University of Tennessee,"Knoxville, Tennessee"
NBA,714,basketball,NBA Championship,April,1996,4/1/1996,Chicago Bulls,"Chicago, Illinois"
NHL,715,ice_hockey,Stanley Cup,June,1996,6/1/1996,Colorado Avalanche,"Denver, Colorado"
NCAA D1 - Men,716,baseball-men,College World Series,June,1996,6/1/1996,Louisiana State University,"Baton Rouge, Louisiana"
MLS,717,soccer,MLS Cup,October,1996,10/1/1996,D.C. United,"Washington, DC"
MLB,718,baseball,world series,October,1996,10/1/1996,New York Yankees,"New York, New York"
CFL,719,canadian_football,Grey Cup,November,1996,11/1/1996,Toronto Argonauts,"Toronto, Ontario"
NCAA D1 - Women,720,soccer-women,NCAA Division I Women's Soccer Championship,December,1996,12/1/1996,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,721,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1996,12/1/1996,Stanford University,"Stanford, California"
NCAA D1 - Men,722,american_football-men,FCS,January,1997,1/1/1997,Marshall University,"Huntington, West Virginia"
NCAA D1 - Men,723,american_football-men,FBS,January,1997,1/1/1997,University of Florida,"Gainesville, Florida"
NFL,724,american_football,Superbowl,January,1997,1/1/1997,Green Bay Packers,"Green Bay, Wisconsin"
NCAA D1 - Men,725,basketball-men,NCAA Division I Men's Basketball Tournament,March,1997,3/1/1997,University of Arizona,"Tucson, Arizona"
NCAA D1 - Women,726,basketball-women,NCAA Division I Women's Basketball Tournament,April,1997,4/1/1997,University of Tennessee,"Knoxville, Tennessee"
NBA,727,basketball,NBA Championship,April,1997,4/1/1997,Chicago Bulls,"Chicago, Illinois"
NCAA D1 - Men,728,baseball-men,College World Series,June,1997,6/1/1997,Louisiana State University,"Baton Rouge, Louisiana"
NHL,729,ice_hockey,Stanley Cup,June,1997,6/1/1997,Detroit Red Wings,"Detroit, Michigan"
MLS,730,soccer,MLS Cup,October,1997,10/1/1997,D.C. United,"Washington, DC"
MLB,731,baseball,world series,October,1997,10/1/1997,Florida Marlins,"Miami, Florida"
CFL,732,canadian_football,Grey Cup,November,1997,11/1/1997,Toronto Argonauts,"Toronto, Ontario"
NCAA D1 - Women,733,soccer-women,NCAA Division I Women's Soccer Championship,December,1997,12/1/1997,University of North Carolina,"Chapel Hill, North Carolina"
NCAA D1 - Women,734,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1997,12/1/1997,Stanford University,"Stanford, California"
NCAA D1 - Men,735,american_football-men,FBS,January,1998,1/1/1998,University of Nebraska,"Lincoln, Nebraska"
NCAA D1 - Men,736,american_football-men,FBS,January,1998,1/1/1998,University of Michigan,"Ann Arbor, Michigan"
NCAA D1 - Men,737,american_football-men,FCS,January,1998,1/1/1998,Youngstown State University,"Youngstown, Ohio"
NFL,738,american_football,Superbowl,January,1998,1/1/1998,Denver Broncos,"Denver, Colorado"
NCAA D1 - Men,739,basketball-men,NCAA Division I Men's Basketball Tournament,March,1998,3/1/1998,University of Kentucky,"Lexington, Kentucky"
NCAA D1 - Women,740,basketball-women,NCAA Division I Women's Basketball Tournament,April,1998,4/1/1998,University of Tennessee,"Knoxville, Tennessee"
NBA,741,basketball,NBA Championship,April,1998,4/1/1998,Chicago Bulls,"Chicago, Illinois"
NCAA D1 - Men,742,baseball-men,College World Series,June,1998,6/1/1998,University of Southern California,"Los Angeles, California"
NHL,743,ice_hockey,Stanley Cup,June,1998,6/1/1998,Detroit Red Wings,"Detroit, Michigan"
MLS,744,soccer,MLS Cup,October,1998,10/1/1998,Chicago Fire,"Chicago, Illinois"
MLB,745,baseball,world series,October,1998,10/1/1998,New York Yankees,"New York, New York"
CFL,746,canadian_football,Grey Cup,November,1998,11/1/1998,Calgary Stampeders,"Calgary, Alberta"
NCAA D1 - Women,747,soccer-women,NCAA Division I Women's Soccer Championship,December,1998,12/1/1998,University of Florida,"Gainesville, Florida"
NCAA D1 - Women,748,volleyball-women,NCAA Division I Women's Volleyball Championship,December,1998,12/1/1998,Long Beach State,"Long Beach, California"
NCAA D1 - Men,749,american_football-men,FBS,January,1999,1/1/1999,University of Tennessee,"Knoxville, Tennessee"
NCAA D1 - Men,750,american_football-men,FCS,January,1999,1/1/1999,University of Massachusetts,"Amherst, Massachusetts"
NFL,751,american_football,Superbowl,January,1999,1/1/1999,Denver Broncos,"Denver, Colorado"
