league,first,trophySelector,colour,sport,championship,trophy,month,nextStep,prevStep,whereToNext,whereToPrev,yearFirst,year,number,date,note,t1,t1loc,t1coord,t2,t2loc,t2coord,t3,t3loc,t3coord,t4,t4loc,t4coord
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step54,step50,54,33,,1909,52,10/1/1909,,Pittsburgh Pirates,"Pittsburgh, Pennsylvania","[-79.9958864, 40.4406247999999]",Detroit Tigers,"Detroit, Michigan","[-83.0457538, 42.331427]",Chicago Cubs,"Chicago, Illinois","[-87.6297982, 41.8781136]",Philadelphia Phillies,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]"
CRU,TRUE,trophy-CFL,#7fc97f,canadian_football,Dominion Amateur Rugby Football Championship,Grey Cup,December,step54,step50,54,33,,1909,53,12/1/1909,,University of Toronto Varsity Blues,"Toronto, Ontario","[-79.3831843, 43.653226]",Toronto Parkdale Canoe Club,"Toronto, Ontario","[-79.3831843, 43.653226]",,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step57,step50,90,54,1910,1910,54,1/1/1910,"HAF, NCF",Yale University,"New Haven, Connecticut","[-72.9278835, 41.308274]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step57,step54,90,54,,1910,55,10/1/1910,,Philadelphia Athletics,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",Chicago Cubs,"Chicago, Illinois","[-87.6297982, 41.8781136]",New York Highlanders,"New York, New York","[-74.0059728, 40.7127753]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]"
CRU,FALSE,trophy-CFL,#7fc97f,canadian_football,Dominion Amateur Rugby Football Championship,Grey Cup,November,step57,step54,90,54,,1910,56,11/1/1910,,University of Toronto Varsity Blues,"Toronto, Ontario","[-79.3831843, 43.653226]",Hamilton Tigers,"Hamilton, Ontario","[-79.8711024, 43.2557206]",,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step61,step54,90,54,1911,1911,57,1/1/1911,"HAF, NCF, NCF",University of Pittsburgh,"Pittsburgh, Pennsylvania","[-79.9958864, 40.4406247999999]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step61,step57,90,54,,1911,58,1/1/1911,"HAF, NCF, NCF",Harvard University,"Cambridge, Massachusetts","[-71.1097334999999, 42.3736158]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step61,step57,90,54,,1911,59,10/1/1911,,Philadelphia Athletics,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]",Detroit Tigers,"Detroit, Michigan","[-83.0457538, 42.331427]",Chicago Cubs,"Chicago, Illinois","[-87.6297982, 41.8781136]"
CRU,FALSE,trophy-CFL,#7fc97f,canadian_football,Dominion Amateur Rugby Football Championship,Grey Cup,November,step61,step57,90,54,,1911,60,11/1/1911,,University of Toronto Varsity Blues,"Toronto, Ontario","[-79.3831843, 43.653226]",Toronto Argonauts,"Toronto, Ontario","[-79.3831843, 43.653226]",,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step65,step57,90,54,1912,1912,61,1/1/1912,"NCF, HAF, NCF",Penn State University,"Centre Country, Pennsylvania","[-77.8367282, 40.8765649]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step65,step61,90,54,,1912,62,1/1/1912,"NCF, HAF, NCF",Princeton University,"Princeton, New Jersey","[-74.6672226, 40.3572976]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step65,step61,90,54,,1912,63,10/1/1912,,Boston Red Sox,"Boston, Massachusetts","[-71.0588801, 42.3600825]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]",Washington Senators,"Washington, DC","[-77.0368707, 38.9071923]",Philadelphia Phillies,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]"
CRU,FALSE,trophy-CFL,#7fc97f,canadian_football,Dominion Amateur Rugby Football Championship,Grey Cup,November,step65,step61,90,54,,1912,64,11/1/1912,,Hamilton Alerts,"Hamilton, Ontario","[-79.8711024, 43.2557206]",Toronto Argonauts,"Toronto, Ontario","[-79.3831843, 43.653226]",,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step69,step61,90,54,1913,1913,65,1/1/1913,"HAF, NCF, NCF",Penn State University,"Centre Country, Pennsylvania","[-77.8367282, 40.8765649]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step69,step65,90,54,,1913,66,1/1/1913,"HAF, NCF, NCF",Harvard University,"Cambridge, Massachusetts","[-71.1097334999999, 42.3736158]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step69,step65,90,54,,1913,67,10/1/1913,,Philadelphia Athletics,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]",Boston Red Sox,"Boston, Massachusetts","[-71.0588801, 42.3600825]",Philadelphia Phillies,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]"
CRU,FALSE,trophy-CFL,#7fc97f,canadian_football,Dominion Amateur Rugby Football Championship,Grey Cup,November,step69,step65,90,54,,1913,68,11/1/1913,,Hamilton Tigers,"Hamilton, Ontario","[-79.8711024, 43.2557206]",Toronto Parkdale Canoe Club,"Toronto, Ontario","[-79.3831843, 43.653226]",,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step72,step65,90,54,1914,1914,69,1/1/1914,"HAF, NCF",Harvard University,"Cambridge, Massachusetts","[-71.1097334999999, 42.3736158]",,,,,,,,,
MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step72,step69,90,54,,1914,70,10/1/1914,,Boston Braves,"Boston, Massachusetts","[-71.0588801, 42.3600825]",Philadelphia Athletics,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",Boston Red Sox,"Boston, Massachusetts","[-71.0588801, 42.3600825]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]"
CRU,FALSE,trophy-CFL,#7fc97f,canadian_football,Dominion Amateur Rugby Football Championship,Grey Cup,December,step72,step69,90,54,,1914,71,12/1/1914,,Toronto Argonauts,"Toronto, Ontario","[-79.3831843, 43.653226]",University of Toronto Varsity Blues,"Toronto, Ontario","[-79.3831843, 43.653226]",,,,,,
