year,word1,word2,totalOccurences,totalPer,total
1982,he,starts,113,17.699,2
1982,he,stole,113,17.699,2
1982,he,sun,113,17.699,2
1982,he,takes,113,17.699,2
1982,he,testifies,113,17.699,2
1982,he,winked,113,17.699,2
1982,he,baby,113,8.85,1
1982,he,bides,113,8.85,1
1982,he,blew,113,8.85,1
1982,he,bought,113,8.85,1
1982,he,broke,113,8.85,1
1982,he,cheated,113,8.85,1
1982,he,closed,113,8.85,1
1982,he,commands,113,8.85,1
1982,he,confuses,113,8.85,1
1982,he,counts,113,8.85,1
1982,he,cracks,113,8.85,1
1982,he,crumpled,113,8.85,1
1982,he,demands,113,8.85,1
1982,he,draws,113,8.85,1
1982,he,dressed,113,8.85,1
1982,he,drove,113,8.85,1
1982,he,fellows,113,8.85,1
1982,he,finally,113,8.85,1
1982,he,flirted,113,8.85,1
1982,he,fucks,113,8.85,1
1982,he,loved,113,8.85,1
1982,he,mellow,113,8.85,1
1982,he,promised,113,8.85,1
1982,he,shades,113,8.85,1
1982,he,smiles,113,8.85,1
1982,he,started,113,8.85,1
1982,he,stayed,113,8.85,1
1982,he,sucks,113,8.85,1
1982,he,suffered,113,8.85,1
1982,he,sweats,113,8.85,1
1982,he,tightens,113,8.85,1
1982,he,told,113,8.85,1
1982,he,walked,113,8.85,1
1982,he,watches,113,8.85,1
1982,he,weak,113,8.85,1
1982,he,weeps,113,8.85,1
1982,he,wow,113,8.85,1
1983,he,bop,133,270.677,36
1983,he,heard,133,60.15,8
1983,he,stands,133,60.15,8
1983,he,baby,133,22.556,3
1983,he,means,133,22.556,3
1983,he,read,133,22.556,3
1983,he,bled,133,15.038,2
1983,he,brings,133,15.038,2
1983,he,calls,133,7.519,2
1983,he,crushed,133,15.038,2
1983,he,deliverance,133,15.038,2
1983,he,falls,133,15.038,2
1983,he,fight,133,15.038,2
1983,he,found,133,15.038,2
1983,he,fucked,133,15.038,2
1983,he,gazed,133,15.038,2
1983,he,looked,133,15.038,2
1983,he,makes,133,7.519,2
1983,he,met,133,15.038,2
1983,he,ran,133,15.038,2
1983,he,smelt,133,15.038,2
1983,he,stood,133,15.038,2
1983,he,thinking,133,15.038,2
1983,he,walked,133,15.038,2
1983,he,believes,133,7.519,1
1983,he,bought,133,7.519,1
1983,he,broke,133,7.519,1
1983,he,cried,133,7.519,1
1983,he,cries,133,7.519,1
1983,he,ditched,133,7.519,1
1983,he,feeds,133,7.519,1
1983,he,formed,133,7.519,1
1983,he,hit,133,7.519,1
1983,he,joined,133,7.519,1
1983,he,knocked,133,7.519,1
1983,he,lacking,133,7.519,1
1983,he,left,133,7.519,1
1983,he,lives,133,7.519,1
1983,he,passed,133,7.519,1
1983,he,pisses,133,7.519,1
1983,he,punched,133,7.519,1
1983,he,quit,133,7.519,1
1983,he,ready,133,7.519,1
1983,he,rings,133,7.519,1
1983,he,rules,133,7.519,1
1983,he,sets,133,7.519,1
1983,he,sharp,133,7.519,1
1983,he,sold,133,7.519,1
1983,he,spills,133,7.519,1
1983,he,starts,133,7.519,1
1983,he,stayed,133,7.519,1
1983,he,sticks,133,7.519,1
1983,he,strides,133,7.519,1
1983,he,takes,133,7.519,1
1983,he,tells,133,7.519,1
1983,he,tumbles,133,7.519,1
1983,he,washed,133,7.519,1
1983,he,worships,133,7.519,1
1984,he,hoo,102,78.431,8
1984,he,drank,102,39.216,4
1984,he,ed,102,39.216,4
1984,he,lived,102,39.216,4
1984,he,sleeping,102,39.216,4
1984,he,takes,102,39.216,4
1984,he,calls,102,29.412,3
1984,he,dies,102,29.412,3
1984,he,casts,102,19.608,2
