category,cat_word,genre,year,pronoun,word1,word2,word,total,,,,
his,his-arms,all,1980,his,his,arms,arms,34,,,,
his,his-hands,all,1980,his,his,hands,hands,31,,,,
his,his-son,all,1980,his,his,son,son,25,,,,
his,his-voice,all,1980,his,his,voice,voice,23,,,,
his,his-gun,all,1980,his,his,gun,gun,22,,,,
his,his-feet,all,1980,his,his,feet,feet,21,,,,
his,his-mother,all,1980,his,his,mother,mother,21,,,,
his,his-smile,all,1980,his,his,smile,smile,21,,,,
his,his-wife,all,1980,his,his,wife,wife,21,,,,
his,his-mind,all,1980,his,his,mind,mind,18,,,,
his,his-family,all,1980,his,his,family,family,16,,,,
his,his-time,all,1980,his,his,time,time,16,,,,
his,his-brain,all,1980,his,his,brain,brain,14,,,,
his,his-kiss,all,1980,his,his,kiss,kiss,14,,,,
his,his-eye,all,1980,his,his,eye,eye,13,,,,
his,his-home,all,1980,his,his,home,home,13,,,,
his,his-knees,all,1980,his,his,knees,knees,13,,,,
his,his-,all,1980,,,,,,,,,
his,his-,all,1980,,,,,,,,,
his,his-,all,1980,,,,,,,,,
his,his-,all,1980,,,,,,,,,
his,his-,all,1980,,,,,,,,,
him,him-him,all,1980,him,hear,him,hear,25,,,,
him,him-him,all,1980,him,love,him,love,24,,,,
him,him-him,all,1980,him,call,him,call,21,,,,
him,him-him,all,1980,him,adore,him,adore,20,,,,
him,him-him,all,1980,him,hit,him,hit,18,,,,
him,him-him,all,1980,him,loved,him,loved,17,,,,
him,him-him,all,1980,him,stop,him,stop,17,,,,
him,him-him,all,1980,him,catch,him,catch,13,,,,
him,him-him,all,1980,him,drove,him,drove,12,,,,
him,him-him,all,1980,him,leave,him,leave,10,,,,
him,him-him,all,1980,him,found,him,found,9,,,,
him,him-him,all,1980,him,told,him,told,9,,,,
him,him-him,all,1980,him,check,him,check,8,,,,
him,him-him,all,1980,him,killed,him,killed,8,,,,
him,him-him,all,1980,him,kiss,him,kiss,8,,,,
him,him-him,all,1980,him,send,him,send,7,,,,
him,him-him,all,1980,him,bout,him,bout,6,,,,
him,him-him,all,1980,him,kill,him,kill,6,,,,
him,him-him,all,1980,him,shoot,him,shoot,6,,,,
him,him-him,all,1980,him,teach,him,teach,6,,,,
him,him-him,all,1980,him,tear,him,tear,6,,,,
him,him-him,all,1980,him,holds,him,holds,5,,,,
him,him-him,all,1980,him,inside,him,inside,5,,,,
him,him-him,all,1980,him,kick,him,kick,5,,,,
him,him-him,all,1980,him,makes,him,makes,5,,,,
him,him-him,all,1980,him,set,him,set,5,,,,
him,him-him,all,1980,him,throw,him,throw,5,,,,
him,him-,all,1980,,,,,,,,,
him,him-,all,1980,,,,,,,,,
him,him-,all,1980,,,,,,,,,
she,she-bop,all,1980,she,she,bop,bop,114,,,,
she,she-loves,all,1980,she,she,loves,loves,45,,,,
she,she-likes,all,1980,she,she,likes,likes,37,,,,
she,she-left,all,1980,she,she,left,left,33,,,,
she,she-walks,all,1980,she,she,walks,walks,33,,,,
she,she-makes,all,1980,she,she,makes,makes,28,,,,
she,she-feels,all,1980,she,she,feels,feels,25,,,,
she,she-told,all,1980,she,she,told,told,25,,,,
she,she-calls,all,1980,she,she,calls,calls,21,,,,
she,she-looked,all,1980,she,she,looked,looked,21,,,,
she,she-loved,all,1980,she,she,loved,loved,16,,,,
she,she-runs,all,1980,she,she,runs,runs,16,,,,
she,she-moves,all,1980,she,she,moves,moves,15,,,,
she,she-sits,all,1980,she,she,sits,sits,15,,,,
she,she-wrote,all,1980,she,she,wrote,wrote,15,,,,
she,she-cried,all,1980,she,she,cried,cried,13,,,,
she,she-rides,all,1980,she,she,rides,rides,13,,,,
she,she-wears,all,1980,she,she,wears,wears,13,,,,
she,she-called,all,1980,she,she,called,called,12,,,,
she,she-lies,all,1980,she,she,lies,lies,12,,,,
she,she-sings,all,1980,she,she,sings,sings,12,,,,
she,she-sleeps,all,1980,she,she,sleeps,sleeps,11,,,,
