tweet_number,created_at,timestamp,text
83,2/3/2017 11:28:02,2/3/2017 7:28:02,"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!"
84,2/3/2017 11:34:32,2/3/2017 7:34:32,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!
85,2/3/2017 11:41:11,2/3/2017 7:41:11,"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!"
86,2/3/2017 11:48:16,2/3/2017 7:48:16,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!"
87,2/3/2017 12:51:58,2/3/2017 8:51:58,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.
88,2/3/2017 23:08:38,2/3/2017 19:08:38,"We must keep ""evil"" out of our country!"
89,2/4/2017 3:07:47,2/3/2017 23:07:47,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!
90,2/4/2017 12:59:35,2/4/2017 8:59:35,"When a country is no longer able to say who can, and who cannot , come in &amp; out, especially for reasons of safety &amp;.security - big trouble!"
91,2/4/2017 13:06:39,2/4/2017 9:06:39,Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death &amp; destruction!
92,2/4/2017 13:12:02,2/4/2017 9:12:02,"The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!"
93,2/4/2017 13:39:27,2/4/2017 9:39:27,"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!"
94,2/4/2017 14:26:10,2/4/2017 10:26:10,MAKE AMERICA GREAT AGAIN!
95,2/4/2017 20:44:07,2/4/2017 16:44:07,"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?"
96,2/4/2017 21:44:49,2/4/2017 17:44:49,"Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision"
97,2/4/2017 23:37:59,2/4/2017 19:37:59,"Why aren't the lawyers looking at and using the Federal Court decision in Boston, which is at conflict with ridiculous lift ban decision?"
98,2/5/2017 0:34:50,2/4/2017 20:34:50,Interview with @oreillyfactor on Fox Network - 4:00 P.M. (prior to Super Bowl). Enjoy!
99,2/5/2017 0:48:12,2/4/2017 20:48:12,The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!
100,2/5/2017 20:39:05,2/5/2017 16:39:05,Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!
101,2/5/2017 20:42:33,2/5/2017 16:42:33,I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!
102,2/5/2017 22:49:42,2/5/2017 18:49:42,Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!
103,2/6/2017 3:36:54,2/5/2017 23:36:54,"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!"
104,2/6/2017 12:01:53,2/6/2017 8:01:53,"Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting."
105,2/6/2017 12:07:55,2/6/2017 8:07:55,"I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!"
106,2/6/2017 16:32:24,2/6/2017 12:32:24,"The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years, and now are making up stories &amp; sources!"
107,2/6/2017 23:33:52,2/6/2017 19:33:52,An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy! https://t.co/kZdHqaNTVR
108,2/7/2017 2:33:55,2/6/2017 22:33:55,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!
109,2/7/2017 2:49:28,2/6/2017 22:49:28,"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!"
110,2/7/2017 12:11:29,2/7/2017 8:11:29,"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!"
111,2/7/2017 16:25:13,2/7/2017 12:25:13,An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men &amp; women who protect &amp; serv… https://t.co/1LkhbCNh8L
112,2/8/2017 1:04:00,2/7/2017 21:04:00,"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!"
113,2/8/2017 12:03:18,2/8/2017 8:03:18,"If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!"
114,2/8/2017 13:04:47,2/8/2017 9:04:47,"I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible, dangerous and wrong decision......."
115,2/8/2017 15:23:29,2/8/2017 11:23:29,Thank you to our great Police Chiefs &amp; Sheriffs for your leadership &amp; service. You have a true friend in the… https://t.co/Lysnv8ZR1h
116,2/8/2017 15:51:01,2/8/2017 11:51:01,My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!
